recipeName,batchYield,unit,ingredientName,qty,ingredientUnit,gramsMl,uom,vendor
Classic Hummus 730 g yield,730.0,GRM,Organic Extra Virgin Olive Oil-1ltr,50.0,GM,50.0,GRM,FACTORY
Classic Hummus 730 g yield,730.0,GRM,JALAPENO BRINE,20.0,GM,20.0,GRM,SAI FOODS
Classic Hummus 730 g yield,730.0,GRM,ICE CUBE,150.0,GM,150.0,GRM,FACTORY
Classic Hummus 730 g yield,730.0,GRM,GARLIC,10.0,GM,10.0,GRM,AD VEGETABLES
Classic Hummus 730 g yield,730.0,GRM,Organic Moringa Powder-100Gms,0.25,TSP,1.0,GRM,FACTORY
CORN SALSA 180g yield,180.0,GRM,PAL FRESH FROZEN SWEET CORN 1KG,150.0,GM,150.0,GRM,SAI FOODS
CORN SALSA 180g yield,180.0,GRM,ENGLISH CUCUMBER,50.0,GM,50.0,GRM,AD VEGETABLES
CORN SALSA 180g yield,180.0,GRM,TOMATO,50.0,GM,50.0,GRM,AD VEGETABLES
CORN SALSA 180g yield,180.0,GRM,GREEN CHILLI,5.0,GM,5.0,GRM,AD VEGETABLES
CORN SALSA 180g yield,180.0,GRM,CORIANDER,5.0,GM,5.0,GRM,AD VEGETABLES
CORN SALSA 180g yield,180.0,GRM,ONION,10.0,GM,10.0,GRM,AD VEGETABLES
CORN SALSA 180g yield,180.0,GRM,LEMON JUICE,10.0,GM,10.0,GRM,AD VEGETABLES
CORN SALSA 180g yield,180.0,GRM,ORGANIC EXTRA VIRGIN OLIVE OIL-1LTR,10.0,ML,10.0,ML,FACTORY
FETA DIP/YOGHURT DIP - BASE RECIPE 84g yield,84.0,GRM,MILKY MIST YOUGHURT,50.0,GM,50.0,GRM,ONLINE
FETA DIP/YOGHURT DIP - BASE RECIPE 84g yield,84.0,GRM,GOODLIFE MILK,25.0,GM,25.0,GRM,DMART
FETA DIP/YOGHURT DIP - BASE RECIPE 84g yield,84.0,GRM,LEMON JUICE,2.0,GM,2.0,GRM,AD VEGETABLES
FETA DIP/YOGHURT DIP - BASE RECIPE 84g yield,84.0,GRM,DILL LEAF,2.0,GM,2.0,GRM,AD VEGETABLES
FETA DIP/YOGHURT DIP - BASE RECIPE 84g yield,84.0,GRM,MINT,2.0,GM,2.0,GRM,AD VEGETABLES
